lon,lat,count,fagus,tsuga,bio1.0,bio12.0,bio2.0,bio4.0,bio7.0,bio15.0,albx,alby
-98.7,42.8,13,0,0,-0.559014417,-1.554521154,1.905953232,1.038407054,1.391963415,1.683486244,-224127,601565
-98.7,43.3,1,0,0,-0.579098161,-1.738114887,1.997382392,1.173411147,1.532594982,1.652957808,-222510,657259
-98.7,43.8,1,0,0,-0.696106903,-1.901398828,1.66784659,1.286841878,1.557874383,1.746562327,-220895,712906
-98.7,44.3,1,0,0,-0.86295596,-2.029164094,1.442366383,1.429571354,1.666209311,1.871787089,-219281,768501
-98.7,44.8,1,0,0,-0.94483044,-2.008383883,1.728264456,1.58904142,1.93080765,2.103884896,-217669,824039
-98.7,45.3,1,0,0,-1.075914054,-1.993584021,1.598798331,1.629064469,1.952330406,2.093001883,-216058,879514
-98.7,46.3,3,0,0,-1.268103857,-1.934437482,1.36479511,1.721447965,1.996688158,1.998191517,-212844,990250
-98.7,47.8,6,0,0,-1.610264197,-2.153901272,0.6205641,2.011632836,2.101761659,1.903910304,-208040,1155732
-98.2,38.3,4,0,0,0.470790296,-1.394740326,1.745002834,0.465635776,0.876576116,1.264732291,-195370,97914
-98.2,38.8,3,0,0,0.363395304,-1.385754346,2.123175465,0.502557932,1.015823744,1.42296352,-194042,153811
-98.2,39.3,2,0,0,0.322175132,-1.348722553,1.494700126,0.61052671,0.969605177,1.623989761,-192714,209705
-98.2,39.8,6,0,0,0.244736484,-1.24878115,1.268144422,0.664392856,0.951675661,1.631696307,-191387,265591
-98.2,40.3,3,0,0,0.074175691,-1.190565952,1.148615138,0.662405507,0.920002628,1.621665928,-190059,321465
-98.2,40.8,1,0,0,-0.1085746,-1.284631109,1.030485193,0.774657607,0.979277745,1.570692904,-188732,377323
-98.2,41.3,5,0,0,-0.329379543,-1.442564447,1.203729662,0.861232557,1.082367877,1.767091446,-187406,433159
-98.2,41.8,1,0,0,-0.509284753,-1.191025256,1.827612408,0.871629795,1.201307447,1.871526174,-186080,488969
-98.2,42.3,5,0,0,-0.532389681,-1.221065398,1.711459605,0.980998503,1.264119946,1.788495385,-184755,544748
-98.2,42.8,12,0,0,-0.501887099,-1.535436001,1.566329747,1.084895495,1.359091524,1.858041993,-183431,600491
-98.2,43.8,4,0,0,-0.599767669,-1.864768163,1.553174086,1.34461926,1.572363226,1.742156051,-180786,711848
-98.2,45.3,1,0,0,-1.116429878,-1.913763944,1.240575228,1.607288793,1.84062817,1.770084651,-176827,878478
-98.2,46.3,1,0,0,-1.213184567,-1.70778695,1.304890279,1.775953057,2.03048212,1.652600602,-174196,989230
-98.2,47.3,1,0,0,-1.469230539,-2.003231064,0.840674493,1.929573896,2.097924979,1.781407405,-171573,1099658
-98.2,47.8,1,0,0,-1.597245603,-2.09128342,0.564547931,2.016775317,2.113166652,1.812054984,-170265,1154735
-97.7,37.8,2,0,0,0.589787438,-1.178819769,0.832706272,0.402136631,0.575512646,0.952031363,-153053,41096
-97.7,38.3,6,0,0,0.521250135,-1.19140899,1.106673319,0.458920881,0.715885767,1.1440487,-152020,96998
