"Data dictionary for Thompson and others (2023, A gridded database of the modern distributions of climate, woody plant taxa, and ecoregions for the continental United States and Canada, U.S. Geological Survey data release, https://doi.org/10.5066/P9FPD80E)",,,,
File Name,Field Name,Units,Valid values,Description
,PICEA NORTH / EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PICEA WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PICEA WEST INTERIOR ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS NORTHEAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS NORTHEAST YELLOW ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS SOUTHEAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS WEST PINYONS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS WEST PINYONS (NORTHERN) ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS WEST WHITE (EXCLUDING PINYON PINES) ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PINUS WEST YELLOW ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PLATANUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,POPULUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PROSOPIS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PROSOPIS GLANDULOSA / PROSOPIS VELUTINA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,PSEUDOTSUGA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,QUERCUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,QUERCUS EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,QUERCUS WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,QUERCUS CORNELIUS-MULLERI / QUERCUS JOHN-TUCKERI / QUERCUS TURBINELLA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,STEWARTIA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,TILIA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,TSUGA ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,TSUGA EAST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,TSUGA WEST ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,ULMUS ,Number,0 or 1,"presence-absence data for the plant group in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,,,,
Presence_Absence_of_Individual_Species_on_25km_Grid.csv,ID,NA,2904 to 32582,unique grid point identifier
,LATITUDE,decimal degrees,25.181 to 82.975,latitude of grid point in decimal degrees
,LONGITUDE,decimal degrees,-167.623 to -52.757,longitude of grid point in decimal degrees
,ROW,NA,66 to 311,row identifier (y-coordinate)
,COL,NA,1 to 257,column identifier (x-coordinate)
,ELEVATION,meters,-115 to 3736,elevation of grid point in meters; 9999 = missing elevation value assigned for 35 coastal grid points. See readme file for more details.
,COUNTRY,NA,NA,country designation of grid point
,STATE_PROVINCE_or_TERRITORY,NA,NA,"state (United States), province, or territory (Canada) designation of grid point"
,COUNTY,NA,NA,county designation of grid point in the United States
,Abies amabilis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Abies balsamea,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Abies concolor,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Abies fraseri,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Abies grandis,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Abies lasiocarpa,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Abies magnifica,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Abies procera,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acacia berlandieri,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acacia constricta var. constricta,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
,Acacia farnesiana,Number,0 or 1,"presence-absence data for the plant taxa in the data set.  A ""1"" indicates that the taxon is present in the assemblage and a ""0"" indicates that it is absent."
